id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
1287,SeLoger,905.0,53.0,17.08,Appartement,"1 pièce - 1 chambre - Duplex , , 53 m²",59000,Lille,50.62149765500498,3.088590260857388,https://www.seloger.com/wl-cdp/26CIQ74EBK6E,,2026-08-12,Lille / Non localisé,Studio/T1,,0,552368.0,0,551601.0,0,553709.0,0,553141.0,0,551591.0,0,550771.0,0,554223.0,0,,0,,0,552555.0,0,551282.0,0,551064.0,0,,0,552994.0,0,553441.0,0,553548.0,0,553775.0,0,554605.0,0,551106.0,0
1288,SeLoger,1124.0,70.0,16.06,Appartement,"3 pièce - 2 chambre - s, s, 70 m², étage",59000,Lille,50.63160661643234,3.07949507702654,https://www.seloger.com/wl-cdp/268UCN7RFE5Q,,2026-08-12,Lille / Non localisé,T3,,0,553615.0,0,552849.0,0,554955.0,0,554387.0,0,552839.0,0,552018.0,0,555469.0,0,,0,,0,553801.0,0,552529.0,0,552311.0,0,,0,554239.0,0,554689.0,0,554795.0,0,555021.0,0,555852.0,0,552353.0,0
1289,SeLoger,2300.0,177.0,12.99,Maison,"6 pièce - 4 chambre - Maison s, s, 177 m²",59000,Lille,50.64315177826396,3.0891821664825097,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/264U3PY8EGUG,,2026-08-12,Lille / Non localisé,Grand (T4+),,0,554695.0,0,553926.0,0,556036.0,0,555468.0,0,553916.0,0,553094.0,0,556550.0,0,,0,,0,554882.0,0,553606.0,0,553387.0,0,,0,555321.0,0,555764.0,0,555873.0,0,556102.0,0,556930.0,0,553430.0,0
1290,SeLoger,916.0,71.8,12.76,Appartement,"3 pièce - 2 chambre - s, s, 71,8 m², Étage 1/7",59000,Lille,50.62615386980881,3.068250685530498,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/269544463.htm,,2026-08-12,Lille-Centre,T3,,0,553220.0,0,552457.0,0,554559.0,0,553992.0,0,552447.0,0,551627.0,0,555073.0,0,,0,,0,553407.0,0,552137.0,0,551920.0,0,,0,553843.0,0,554299.0,0,554403.0,0,554625.0,0,555459.0,0,551962.0,0
1291,SeLoger,450.0,19.0,23.68,Appartement,"1 pièce - 19 m², étage",59000,Lille,50.62556441695855,3.0880187326221535,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26W9VPAXRSVC,,2026-08-12,Lille / Non localisé,Studio/T1,,0,552817.0,0,552050.0,0,554158.0,0,553590.0,0,552040.0,0,551219.0,0,554671.0,0,,0,,0,553004.0,0,551730.0,0,551512.0,0,,0,553442.0,0,553889.0,0,553997.0,0,554223.0,0,555053.0,0,551554.0,0
1292,SeLoger,750.0,33.5,22.39,Appartement,"2 pièce - 1 chambre - s, , 33,5 m²",59000,Lille,50.620583528971544,3.068066963816378,https://www.seloger.com/wl-cdp/25KPK9D9T1S8,,2026-08-12,Lille / Non localisé,T2,,0,552623.0,0,551860.0,0,553961.0,0,553394.0,0,551850.0,0,551031.0,0,554476.0,0,,0,,0,552809.0,0,551540.0,0,551323.0,0,,0,553245.0,0,553703.0,0,553806.0,0,554027.0,0,554862.0,0,551365.0,0
1293,SeLoger,520.0,14.0,37.14,Colocation,"1 pièce - 3 chambre - Colocation , s, 14 m²",59000,Lille,50.608677713281,3.0312735970625906,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/2653YUNB1RZV,,2026-08-12,Lille / Non localisé,Studio/T1,,0,551983.0,0,551229.0,0,553318.0,0,552752.0,0,551219.0,0,550403.0,0,553834.0,0,,0,,0,552169.0,0,550910.0,0,550695.0,0,,0,552600.0,0,553078.0,0,553173.0,0,553384.0,0,554228.0,0,550736.0,0
1294,SeLoger,640.0,15.0,42.67,Colocation,"1 pièce - 1 chambre - Colocation , , 15 m², étage",59000,Lille,50.61249101403274,3.0348172340194868,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/268CZ1PRQ74K,,2026-08-12,Lille / Non localisé,Studio/T1,,0,552331.0,0,551576.0,0,553666.0,0,553100.0,0,551566.0,0,550750.0,0,554182.0,0,,0,,0,552517.0,0,551257.0,0,551042.0,0,,0,552949.0,0,553424.0,0,553520.0,0,553732.0,0,554576.0,0,551083.0,0
1295,SeLoger,382.0,17.0,22.47,Appartement,"1 pièce - 17 m², 2 étages",59000,Lille,50.62059392777462,3.0219760030933505,https://www.seloger.com/wl-cdp/24VDS8RDQUI9,,2026-08-12,Lille / Non localisé,Studio/T1,,0,553430.0,0,552677.0,0,554764.0,0,554198.0,0,552667.0,0,551852.0,0,555281.0,0,,0,,0,553616.0,0,552358.0,0,552144.0,0,,0,554047.0,0,554527.0,0,554621.0,0,554831.0,0,555676.0,0,552185.0,0
1296,SeLoger,1300.0,102.0,12.75,Appartement,"4 pièce - 2 chambre - s, s, 102 m², Étage 4/4",59000,Lille,50.63273073680408,3.0623817586538986,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/271768319.htm,,2026-08-12,Lille-Centre,Grand (T4+),,0,554030.0,0,553268.0,0,555369.0,0,554802.0,0,553258.0,0,552439.0,0,555883.0,0,,0,,0,554217.0,0,552948.0,0,552731.0,0,,0,554653.0,0,555111.0,0,555214.0,0,555435.0,0,556270.0,0,552773.0,0
1297,SeLoger,950.0,72.0,13.19,Appartement,"3 pièce - 2 chambre - s, s, 72 m², étage",59000,Lille,50.62966661393416,3.041962090096978,https://www.seloger.com/annonces/locations/appartement/lille-59/wazemmes/271883509.htm,,2026-08-12,Wazemmes,T3,,0,554055.0,0,553297.0,0,555392.0,0,554825.0,0,553287.0,0,552470.0,0,555907.0,0,,0,,0,554242.0,0,552978.0,0,552762.0,0,,0,554675.0,0,555143.0,0,555242.0,0,555458.0,0,556298.0,0,552804.0,0
1298,SeLoger,969.0,64.7,14.98,Appartement,"3 pièce - 2 chambre - s, s, 64,7 m², étage",59000,Lille,50.63815390125116,3.057037969800005,https://www.seloger.com/annonces/locations/appartement/lille-59/vieux-lille/272286119.htm,,2026-08-12,Vieux-Lille,T3,,0,554707.0,0,553945.0,0,556046.0,0,555479.0,0,553935.0,0,553117.0,0,556560.0,0,,0,,0,554894.0,0,553626.0,0,553409.0,0,,0,555329.0,0,555789.0,0,555891.0,0,556112.0,0,556948.0,0,553451.0,0
1299,SeLoger,1350.0,73.1,18.47,Appartement,"3 pièce - 2 chambre - Duplex s, s, 73,1 m², RDC",59000,Lille,50.63512548675731,3.066321640414388,https://www.seloger.com/annonces/locations/appartement/lille-59/vieux-lille/270398497.htm,,2026-08-12,Vieux-Lille,T3,,0,554221.0,0,553457.0,0,555559.0,0,554992.0,0,553447.0,0,552627.0,0,556074.0,0,,0,,0,554407.0,0,553137.0,0,552920.0,0,,0,554844.0,0,555299.0,0,555403.0,0,555625.0,0,556459.0,0,552962.0,0
1300,SeLoger,1080.0,65.0,16.62,Appartement,"3 pièce - 2 chambre - s, s, 65 m², Étage 2/6",59000,Lille,50.63892153006438,3.0832004968282436,https://www.seloger.com/annonces/locations/appartement/lille-59/wazemmes/268ZS2RFJ5MJ.htm,,2026-08-12,Lille / Non localisé,T3,,0,554340.0,0,553573.0,0,555681.0,0,555113.0,0,553563.0,0,552742.0,0,556195.0,0,,0,,0,554527.0,0,553253.0,0,553035.0,0,,0,554966.0,0,555412.0,0,555520.0,0,555747.0,0,556577.0,0,553077.0,0
1301,SeLoger,827.0,31.8,26.01,Appartement,"2 pièce - 1 chambre - s, , 31,8 m², RDC/2",59000,Lille,50.646673617679916,3.084580037775695,https://www.seloger.com/annonces/locations/appartement/lille-59/saint-maurice-pellevoisin/270862603.htm,,2026-08-12,Saint-Maurice Pellevoisin,T2,,0,555153.0,0,554385.0,0,556494.0,0,555927.0,0,554375.0,0,553554.0,0,557008.0,0,,0,,0,555340.0,0,554065.0,0,553847.0,0,,0,555779.0,0,556223.0,0,556332.0,0,556560.0,0,557389.0,0,553889.0,0
