id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
355,Vizzit,1190.0,72.0,16.53,Appartement,3 pièce - 72 m² - s,69006,Lyon,45.76794,4.84353,https://www.vizzit.fr/fr/property/appartement/lyon-6/Arbtp60yoym9uf5e,Brotteaux / Foch,T3,844.0,0,41.0,11,202.0,2,205.0,3,95.0,10,149.0,10,151.0,12,582.0,0,1029.0,0,275.0,6,250.0,1,1049.0,0,52.0,15,2002.0,0,122.0,2,89.0,6,1663.0,0,116.0,2,708.0,0,2419.0,0
356,Vizzit,900.0,34.0,26.47,Appartement,2 pièce - 34 m² - s,69006,Lyon,45.76801,4.85441,https://www.vizzit.fr/fr/property/appartement/lyon-6/Au3wkcai3lxw8f4a,Brotteaux / Foch,T2,919.0,0,81.0,18,273.0,3,161.0,2,202.0,10,544.0,0,127.0,6,412.0,2,272.0,1,162.0,8,194.0,2,1258.0,0,74.0,18,1866.0,0,345.0,1,208.0,2,1511.0,0,185.0,2,1492.0,0,2846.0,0
357,Vizzit,430.0,12.0,35.83,Studio,12 m² - Studio,69009,Lyon,45.76811,4.79058,https://www.vizzit.fr/fr/property/appartement/lyon-9/Aa3l7biolj6gu35t,Vaise / Valmy,Studio/T1,3226.0,0,778.0,0,811.0,0,1438.0,0,1453.0,0,1556.0,0,147.0,4,1653.0,0,784.0,0,794.0,0,1325.0,0,2201.0,0,418.0,3,5166.0,0,1378.0,0,437.0,1,777.0,0,1459.0,0,3309.0,0,1728.0,0
358,Vizzit,800.0,30.0,26.67,Appartement,2 pièce - 30 m² - s,69001,Lyon,45.76816,4.83416,https://www.vizzit.fr/fr/property/appartement/lyon-1/A97v01s9mlb7msy1,Terreaux / Hotel de Ville,T2,199.0,3,40.0,74,20.0,7,190.0,1,165.0,6,127.0,4,159.0,8,166.0,6,1145.0,0,146.0,6,187.0,4,769.0,0,144.0,17,2343.0,0,153.0,2,198.0,5,1272.0,0,554.0,0,312.0,2,1747.0,0
359,Vizzit,845.0,24.0,35.21,Appartement,1 pièce - 24 m²,69006,Lyon,45.76848,4.8437,https://www.vizzit.fr/fr/property/appartement/lyon-6/Axnk1gzpfp08sb8h,Brotteaux / Foch,Studio/T1,845.0,0,24.0,10,242.0,2,248.0,1,136.0,9,156.0,7,116.0,12,585.0,0,1004.0,0,269.0,6,306.0,1,1014.0,0,43.0,16,1942.0,0,182.0,2,88.0,6,1658.0,0,171.0,2,690.0,0,2450.0,0
360,Vizzit,1121.0,76.0,14.75,Appartement,2 pièce - 76 m² - s,69001,Lyon,45.7685,4.83464,https://www.vizzit.fr/fr/property/appartement/lyon-1/Ab8c9lzcm9rt345y,Terreaux / Hotel de Ville,T2,190.0,3,19.0,73,71.0,7,239.0,1,201.0,5,75.0,4,135.0,9,140.0,6,1193.0,0,95.0,6,226.0,4,730.0,0,196.0,17,2290.0,0,180.0,2,146.0,5,1251.0,0,597.0,0,289.0,2,1796.0,0
361,Vizzit,940.0,46.0,20.43,Appartement,2 pièce - 46 m² - s,69009,Lyon,45.76852,4.80297,https://www.vizzit.fr/fr/property/appartement/lyon-9/Aojb5yxr2jci56dq,Vaise / Valmy,T2,2269.0,0,176.0,3,463.0,1,725.0,0,751.0,0,773.0,0,171.0,7,715.0,0,751.0,0,457.0,1,735.0,0,1466.0,0,64.0,8,4263.0,0,598.0,0,700.0,0,687.0,0,728.0,0,2349.0,0,939.0,0
362,Vizzit,585.0,19.0,30.79,Studio,19 m² - Studio,69006,Lyon,45.7686,4.85632,https://www.vizzit.fr/fr/property/appartement/lyon-6/A0bctqqn2ow9f0pm,Brotteaux / Foch,Studio/T1,984.0,0,38.0,17,140.0,4,39.0,2,246.0,8,445.0,1,194.0,5,274.0,2,156.0,1,103.0,7,300.0,2,1355.0,0,209.0,16,1817.0,0,443.0,1,267.0,3,1595.0,0,263.0,2,1623.0,0,2913.0,0
363,Vizzit,1890.0,108.0,17.5,Appartement,4 pièce - 108 m² - s,69006,Lyon,45.76876,4.85676,https://www.vizzit.fr/fr/property/appartement/lyon-6/A022io16wy85yctx,Brotteaux / Foch,Grand (T4+),1005.0,0,7.0,15,117.0,4,47.0,2,236.0,7,414.0,1,193.0,5,247.0,2,139.0,1,122.0,6,331.0,2,1382.0,0,246.0,15,1805.0,0,473.0,1,291.0,3,1619.0,0,290.0,1,1653.0,0,2932.0,0
364,Vizzit,620.0,24.0,25.83,Studio,24 m² - Studio,69006,Lyon,45.76887,4.85479,https://www.vizzit.fr/fr/property/appartement/lyon-6/A0j2e0pzorckeoqs,Brotteaux / Foch,Studio/T1,1012.0,0,82.0,18,187.0,3,111.0,2,133.0,9,567.0,0,158.0,5,396.0,2,180.0,1,184.0,7,178.0,2,1357.0,0,104.0,18,1773.0,0,443.0,1,150.0,2,1609.0,0,141.0,2,1501.0,0,2941.0,0
365,Vizzit,1150.0,60.0,19.17,Appartement,2 pièce - 60 m² - s,69001,Lyon,45.76891,4.83212,https://www.vizzit.fr/fr/property/appartement/lyon-1/A3uw4244m4kavm13,Terreaux / Hotel de Ville,T2,113.0,3,17.0,80,72.0,8,148.0,1,60.0,4,217.0,7,152.0,12,91.0,7,1189.0,0,32.0,7,47.0,4,712.0,0,79.0,19,2381.0,0,32.0,2,144.0,5,1144.0,0,642.0,0,229.0,2,1644.0,0
366,Vizzit,880.0,33.0,26.67,Appartement,2 pièce - 33 m² - s,69001,Lyon,45.76892,4.83432,https://www.vizzit.fr/fr/property/appartement/lyon-1/Atkdmhr3612278lu,Terreaux / Hotel de Ville,T2,140.0,3,71.0,71,106.0,8,242.0,1,186.0,3,64.0,4,82.0,10,116.0,6,1229.0,0,112.0,6,204.0,4,684.0,0,210.0,18,2269.0,0,173.0,2,132.0,5,1198.0,0,640.0,0,237.0,2,1795.0,0
