categorie_cavalier,type_osm,nom_lieu,latitude,longitude
Vice - Bar,bar,L'annexe (anciennement Le poste),50.6262054,3.0566297
Vice - Bar,bar,Bar Au Moulin,50.6205338,3.0675028
Vice - Bar,bar,Bistro Romain,50.6231657,3.0543245
Vice - Bar,bar,La Casawaz,50.6235239,3.0494199
Vice - Bar,bar,Café Tabac des Abattoirs,50.6453413,3.0597989
Vice - Bar,bar,Lüm Vieux-lille,50.6453784,3.0568024
Vice - Bar,bar,Barnett’s Lille,50.6466128,3.0572444
Vice - Bar,bar,The People Lille,50.645613,3.0557619
Vice - Bar,bar,Café Rabelais,50.6370654,3.0849281
Vice - Bar,bar,L'arc de triomphe,50.6423004,3.086594
Vice - Bar,bar,La Courte Échelle,50.628512,3.111553
Vice - Bar,bar,Le Croisé,50.645565,2.9879395
Vice - Bar,bar,La Cambuse,50.6434575,3.01198
Vice - Bar,bar,Le Quartier Libre,50.6439221,3.0504871
Vice - Bar,bar,Le valmy,50.6283313,3.0617306
Vice - Tabac,tobacco,Le National,50.6297962,3.0452223
Vice - Tabac,tobacco,Café Tabac Loto La Mitterie,50.6473068,3.0034079
Vice - Tabac,tobacco,Mag Presse,50.6293952,3.05425
Vice - Tabac,tobacco,Le Métro,50.6312855,3.095422
Vice - Tabac,tobacco,Le Sebasto,50.6295782,3.0588046
Vice - Tabac,tobacco,La Porte des Postes,50.6191572,3.050898
Vice - Tabac,tobacco,O'Nargui,50.6202833,3.0514627
Vice - Tabac,tobacco,Le Carré d'As,50.6283921,3.0170369
Vice - Tabac,tobacco,Le Flandre,50.621252,3.0354865
Vice - Tabac,tobacco,La Boutique du Fumeur,50.632884,3.0623363
Vice - Tabac,tobacco,Tabac Le Marjack,50.6179231,3.0604365
Vice - CBD Shop,cannabis,Tom & Jazy,50.6297233,3.0555795
Vice - CBD Shop,cannabis,La Touche Verte,50.6301318,3.0571297
Vice - CBD Shop,cannabis,Green Beux,50.6304926,3.0600599
Vice - CBD Shop,cannabis,GreenWay,50.633213,3.0623224
Vice - CBD Shop,cannabis,CBD 24/7,50.6359216,3.0260013
Vice - CBD Shop,cannabis,Fox Seeds,50.6322968,3.0509181
Vice - CBD Shop,cannabis,Tom & Jazy,50.6260308,3.1115069
Gentrification - Salle Sport,fitness_centre,Domyos,50.617941,3.0833848
Gentrification - Salle Sport,fitness_centre,"Espace Balzac, salle de musculation",50.6137381,3.049539
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6256814,3.0511378
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6285545,3.0526279
Gentrification - Salle Sport,fitness_centre,Studio Inspir,50.639934,3.0612199
Gentrification - Salle Sport,fitness_centre,KeepCool,50.6298566,3.0571453
Gentrification - Salle Sport,fitness_centre,Les Yogis,50.6309314,3.0585756
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6351666,3.0585779
Gentrification - Salle Sport,fitness_centre,Form'elles,50.6239522,3.0544305
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6214315,3.0458447
Gentrification - Salle Sport,fitness_centre,KeepCool,50.6335821,3.0668264
Gentrification - Salle Sport,fitness_centre,CrossFit Vauban,50.6245169,3.0440297
Gentrification - Salle Sport,fitness_centre,One,50.6346935,3.0674028
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6347063,3.0830167
Gentrification - Salle Sport,fitness_centre,La Caserne,50.633257,3.0639787
Gentrification - Salle Sport,fitness_centre,Fitness Park,50.634159,3.0639922
Gentrification - Salle Sport,fitness_centre,Atelier de Yoga,50.6303613,3.0571669
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6199053,3.0727644
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.627229,3.0416545
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6343735,3.0196376
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.634836,3.069555
Gentrification - Salle Sport,fitness_centre,KeepCool,50.6335108,3.067088
Gentrification - Salle Sport,fitness_centre,Crossfit ALEA,50.6224753,3.08009
