categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Vice - Bar,bar,Le Bistro,45.768323,4.8293006,69001
Vice - Bar,bar,Pépouze,45.7683221,4.8285288,69001
Vice - Bar,bar,Au Bon Cru,45.7536108,4.8326653,69002
Vice - Bar,bar,Le Cardiff,45.7545637,4.8267318,69002
Vice - Bar,bar,Strip Club,45.7587665,4.8260433,69005
Vice - Bar,bar,Big White,45.7646449,4.8281015,69005
Vice - Bar,bar,La Cave des Voyageurs,45.7661526,4.8276586,69005
Vice - Bar,bar,Bis'Corner,45.7663243,4.8271697,69005
Vice - Bar,bar,Ayers Rock,45.7683993,4.8348396,69001
Vice - Bar,bar,Hell's Kitchen,45.7683977,4.8349501,69001
Vice - Bar,bar,The Monkey Club,45.7695669,4.8372671,69001
Vice - Bar,bar,La Loge,45.7601861,4.8316488,69002
Vice - Bar,bar,Viktor,45.7516727,4.82844,69002
Vice - Bar,bar,Le Marco Polo,45.7518753,4.829457,69002
Vice - Bar,bar,Le Pacha de Lyon,45.7532805,4.8411481,69007
Vice - Bar,bar,Le Mini Bar,45.7530292,4.8419051,69007
Vice - Bar,bar,Jungle,45.7498805,4.8525511,69007
Vice - Bar,bar,Lyonnais K'Fé,45.7506237,4.8478935,69007
Vice - Bar,bar,Le Remède,45.7454855,4.8455058,69007
Vice - Bar,bar,Quai22,45.7649716,4.837935,69002
Vice - Bar,bar,Bar des Deux Avenues,45.7546419,4.8665421,69003
Vice - Bar,bar,Ninkasi Vaise Industrie,45.7882685,4.8127363,69009
Vice - Bar,bar,Le City,45.7632762,4.8520533,69003
Vice - Bar,bar,Le Comptoir du 6ème,45.7728396,4.8441256,69006
Vice - Bar,bar,House of Bears,45.7493492,4.8351744,69007
Vice - Bar,bar,Café Saint-Louis,45.7489581,4.8482613,69007
Vice - Bar,bar,Café de la Source,45.7490843,4.8483197,69007
Vice - Bar,bar,Le Bazar,45.7378442,4.8654701,69008
Vice - Bar,bar,Tire-toi une bûche 2,45.7508237,4.8470353,69007
Vice - Bar,bar,Les Valseuses,45.7713743,4.8352736,69001
Vice - Bar,bar,Blonde Ou Brune,45.7713422,4.8330154,69001
