id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,url,latitude,longitude
45,Orpi,1090.0,71.0,15.35,Appartement,3 pièce - 2 chambre - Exclusivitépar mois s 71 m2 8 - Monplaisir - Frères LumièreMes sagesTerrasseBon étatNon meubléRez - de - chausséeFavoris,69008,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-8-69008-f5536bf6-e179-4317-8076-3fe83848fc34/,45.74538281960851,4.870092976477299
46,Orpi,1406.0,55.0,25.56,Appartement,4 pièce - Exclusivitépar mois s 55 m2 4 - Place des TapisMessage3 chambr esBon étatNon meubléEtage : 1Favoris,69004,Lyon,https://www.orpi.com/annonce-location-appartement-t4-lyon-4-69004-12398bce-de08-40f9-a1b2-48bb3c310890/,45.77312975003733,4.829805523671523
47,Orpi,745.0,47.0,15.85,Appartement,2 pièce - 1 chambre - Exclusivitépar mois s 47 m2 3 - Grange BlancheMessage CaveBon étatNon meubléAscenseurEtage : 3Favoris,69003,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-3-69003-d7a420fc-8ae5-42ef-be30-b745cf06c961/,45.747636767969716,4.8626396401743675
48,Orpi,2580.0,147.0,17.55,Maison,6 pièce - 5 chambre - Visite virtuellepar mois Maison s 147 m2 9 - ChampvertMessagesBal conTerrasseBon étatGarageNon meubléFavoris,69009,Lyon,https://www.orpi.com/annonce-location-maison-t6-lyon-9-69009-f4364878-b5b6-4471-abd4-097d70722d8f/,45.76877211865995,4.809036797198272
49,Orpi,1173.0,66.0,17.77,Appartement,2 pièce - 1 chambre - Exclusivitépar mois s 66 m2 5 - Vieux MessageÀ ra fraîchirMeubléAscenseurEtage : 6Favoris,69005,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-5-69005-a9a0ccde-70e6-4319-a5c9-371b5a365fbe/,45.75976101531743,4.8010054400879785
50,Orpi,1185.0,54.0,21.94,Appartement,2 pièce - 1 chambre - Exclusivitépar mois s 54 m2 2 - ConfluenceMessageBalc onTerrasseBon étatNon meubléAscenseurFavoris,69002,Lyon,https://www.orpi.com/annonce-location-appartement-t2-lyon-2-69002-f0bbc7de-b457-49aa-a57d-d34d9cbb4068/,45.753849693593686,4.827115018204849
51,Orpi,1694.0,108.0,15.69,Appartement,4 pièce - 3 chambre - par mois s 108 m2 2 - CordeliersMessagesBon étatNon m eubléEtage : 1Favoris,69002,Lyon,https://www.orpi.com/annonce-location-appartement-t4-lyon-2-69002-7a90a665-2f12-44cc-a08a-dcc93f612bc9/,45.7488935518052,4.832158526244971
52,Orpi,515.0,20.0,25.75,Studio,1 pièce - par mois 20 m2 3 - GaribaldiMessageStudioBon étatMeubléAscens eurEtage : 2Favoris,69003,Lyon,https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-db179331-37fe-4c61-b3be-d69a91342018/,45.747235538043725,4.867811216054652
53,Orpi,1055.0,57.0,18.51,Appartement,3 pièce - 2 chambre - Visite virtuellepar mois s 57 m2 9 - ValmyMessagesPar fait étatMeubléEtage : 4Favoris,69009,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-9-69009-553daa07-1067-49bf-bcb4-49d0eea028fa/,45.77521066055119,4.814615418865426
54,Orpi,1920.0,95.0,20.21,Appartement,3 pièce - 2 chambre - ExclusivitéVisite virtuellepar mois s 95 m2 6 - Tête d'OrMessa gesCaveBon étatMeubléRez - de - chausséeFavoris,69006,Lyon,https://www.orpi.com/annonce-location-appartement-t3-lyon-6-69006-24bcac90-5b51-4f72-bc6e-06184629c69b/,45.7676492023603,4.8546210564808785
