categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Gentrification - Salle Sport,fitness_centre,Saône et Soi,45.767255,4.8245857,69005.0
Gentrification - Salle Sport,fitness_centre,Okinawa Shaolin,45.7672662,4.8264516,69005.0
Gentrification - Salle Sport,fitness_centre,Maximum Evolution,45.751386,4.8905606,69003.0
Gentrification - Salle Sport,fitness_centre,Intensifit,45.7645222,4.8438123,69006.0
Gentrification - Salle Sport,fitness_centre,Coach in Lyon,45.764238,4.8441178,69006.0
Gentrification - Salle Sport,fitness_centre,Tiny Yoga Club,45.7617636,4.8440963,69003.0
Gentrification - Salle Sport,fitness_centre,Club du Rhône,45.756761,4.8436594,69003.0
Gentrification - Salle Sport,fitness_centre,Rituel,45.7476919,4.8431205,69007.0
Gentrification - Salle Sport,fitness_centre,Inconnu,45.7533339,4.8613391,69003.0
Gentrification - Salle Sport,fitness_centre,Sesam,45.7497316,4.8389474,69007.0
Gentrification - Salle Sport,fitness_centre,Chevreul Sport & Fitness,45.7458801,4.8464664,69007.0
Gentrification - Salle Sport,fitness_centre,Oblique,45.7515265,4.8444848,69007.0
Gentrification - Salle Sport,fitness_centre,Fit Wave,45.7632182,4.8431909,69003.0
Gentrification - Salle Sport,fitness_centre,KeepCool,45.7538603,4.8937207,69003.0
Gentrification - Salle Sport,fitness_centre,Elancia,45.7463673,4.850955,69007.0
Gentrification - Salle Sport,fitness_centre,Centre Tao Yoga,45.7768287,4.8361675,69004.0
Gentrification - Salle Sport,fitness_centre,L'Atelier du Yoga,45.7763489,4.8338993,69004.0
Gentrification - Salle Sport,fitness_centre,Aquabiking,45.7752669,4.8061883,69009.0
Gentrification - Salle Sport,fitness_centre,On Air Fitness Lyon Saxe Gambetta,45.7533905,4.8494204,69003.0
Gentrification - Salle Sport,fitness_centre,BodyHit,45.7617871,4.8374184,69002.0
Gentrification - Salle Sport,fitness_centre,JOHN REED Lyon Part-Dieu,45.7598645,4.8557068,69003.0
Gentrification - Salle Sport,fitness_centre,The New Me,45.7754479,4.8326601,69004.0
Gentrification - Salle Sport,fitness_centre,Inconnu,45.7271363,4.822582,69007.0
Gentrification - Salle Sport,fitness_centre,Haltéro Club Lyonnais,45.7804758,4.8342743,69004.0
Gentrification - Salle Sport,fitness_centre,CrossFit,45.7475886,4.8822984,69003.0
Gentrification - Salle Sport,fitness_centre,Track & Fit,45.7539052,4.8268664,69002.0
Gentrification - Salle Sport,fitness_centre,Body Hit,45.7799173,4.834654,69004.0
Gentrification - Salle Sport,fitness_centre,Antropos Crossfit,45.7340549,4.8374887,69007.0
Gentrification - Salle Sport,fitness_centre,Cocon Yoga,45.7444915,4.8317536,69007.0
Gentrification - Salle Sport,fitness_centre,On Air Fitness,45.7676819,4.8564386,69006.0
Gentrification - Salle Sport,fitness_centre,Ironbody Fit,45.7635511,4.8544341,69003.0
Gentrification - Salle Sport,fitness_centre,Centre de fitness MYO DOJO Électrostimulation Miha Bodytec Lyon Confluence,45.7431501,4.8181658,69002.0
Gentrification - Salle Sport,fitness_centre,The Good Flow,45.7649115,4.8541566,69006.0
Gentrification - Salle Sport,fitness_centre,On Air,45.761433,4.8362867,69002.0
Gentrification - Salle Sport,fitness_centre,Yoga Citta,45.757433,4.8481296,69003.0
Gentrification - Salle Sport,fitness_centre,Basic-Fit,45.7762978,4.7967058,69009.0
Gentrification - Salle Sport,fitness_centre,L Form,45.7708312,4.8444931,69006.0
Gentrification - Salle Sport,fitness_centre,PHYSICONCEPT,45.7657102,4.8419885,69006.0
Gentrification - Salle Sport,fitness_centre,Yoga Room,45.7629657,4.8491524,69003.0
Gentrification - Salle Sport,fitness_centre,Centre de yoga Narayan,45.7731945,4.8067801,69009.0
Gentrification - Salle Sport,fitness_centre,Feel Gong,45.7681726,4.8596065,69006.0
Gentrification - Salle Sport,fitness_centre,The New Me,45.760082,4.8307074,69002.0
Gentrification - Salle Sport,fitness_centre,Yoga Horizon,45.7691949,4.8321279,69001.0
Gentrification - Salle Sport,fitness_centre,Elixir Studio,45.7522044,4.827735,69002.0
Gentrification - Salle Sport,fitness_centre,Essentiel Fitness,45.7747182,4.8302561,69004.0
Gentrification - Salle Sport,fitness_centre,Savasana,45.7805027,4.8324092,69004.0
Gentrification - Salle Sport,fitness_centre,Rituel Sport Club,45.7633694,4.8377953,69002.0
Gentrification - Salle Sport,fitness_centre,Inconnu,45.7542738,4.809255,69005.0
Gentrification - Salle Sport,fitness_centre,KeepCool,45.7448146,4.8199056,69002.0
Gentrification - Salle Sport,fitness_centre,CrossFit,45.7425989,4.8230838,69002.0
Gentrification - Salle Sport,fitness_centre,Sésam,45.7698858,4.8474003,69006.0
Gentrification - Salle Sport,fitness_centre,Basic-Fit,45.763449,4.8068525,69009.0
Gentrification - Salle Sport,fitness_centre,Basic-Fit,45.7407084,4.8626557,69008.0
Gentrification - Salle Sport,fitness_centre,KeepCool,45.7614721,4.8560834,69003.0
Gentrification - Épicerie Fine,deli,Abel,45.7702385,4.8589832,69006.0
Gentrification - Épicerie Fine,deli,CIAO CIAO,45.7643253,4.8333634,69002.0
Gentrification - Atelier Vélo,bicycle,Vélonaute Tête d'Or,45.7699141,4.8472781,69006.0
Gentrification - Atelier Vélo,bicycle,Montcycle,45.7535025,4.8920998,69003.0
Gentrification - Fleuriste,florist,Fleuralyon,45.7501557,4.8867875,69003.0
Gentrification - Fleuriste,florist,Aux Bouquets d'Amandine,45.7298724,4.8287524,69007.0
Gentrification - Fleuriste,florist,L'enchantement,45.7534382,4.8910719,69003.0
Gentrification - Fleuriste,florist,Monceau Fleurs,45.7432447,4.8741485,69008.0
Gentrification - Fleuriste,florist,Maison Célestin,45.7598504,4.8267,69005.0
Gentrification - Fleuriste,florist,L'échappée végétale,45.7517007,4.8529466,69007.0
Gentrification - Fleuriste,florist,Camille Fleurs,45.766076,4.8556414,69006.0
Gentrification - Fleuriste,florist,Planet'Flor,45.7329859,4.8809549,69008.0
Gentrification - Fleuriste,florist,Aux Fleurs du Sud,45.7569188,4.8331777,69002.0
Gentrification - Fleuriste,florist,Maison Célestin Artisan Fleuriste,45.7754836,4.8321535,69004.0
Gentrification - Fleuriste,florist,Bonsaï Studio,45.7606729,4.8508183,69003.0
Gentrification - Fleuriste,florist,Lili Flora,45.7508744,4.8487825,69007.0
Gentrification - Fleuriste,florist,Fleuriste Mont d'Or,45.7882652,4.8085503,69009.0
Gentrification - Fleuriste,florist,Le Jardin Célestin,45.7604937,4.8310999,69002.0
Gentrification - Fleuriste,florist,Aux Belles Fleurs,45.7382305,4.8629091,69008.0
Gentrification - Fleuriste,florist,Le Jardin Saint-Louis,45.7501563,4.8478349,69007.0
Gentrification - Fleuriste,florist,Le Liseron,45.7547226,4.8672108,69003.0
Gentrification - Fleuriste,florist,Carré Fleurs,45.7771805,4.8073018,69009.0
Gentrification - Fleuriste,florist,Iris Fleurs,45.7499336,4.845809,69007.0
Gentrification - Fleuriste,florist,Au jardin de Jules Guesde,45.7469237,4.8375667,69007.0
Gentrification - Fleuriste,florist,Amour Floral,45.7589838,4.8457033,69003.0
Gentrification - Fleuriste,florist,Le secret d'une fleur,45.80037,4.8257084,69009.0
Gentrification - Fleuriste,florist,Fleur et Sens,45.7362239,4.8692571,69008.0
Gentrification - Fleuriste,florist,Les Fleurs d'Anna,45.7739367,4.823863,69004.0
Gentrification - Fleuriste,florist,Les Fleurs d'Anna,45.7733796,4.8218172,69004.0
Gentrification - Fleuriste,florist,Au Val des Roses,45.7566819,4.8669577,69003.0
Gentrification - Fleuriste,florist,Fleuralia,45.7638223,4.8630493,69006.0
Gentrification - Fleuriste,florist,Aquafleurs,45.745932,4.8642089,69008.0
Gentrification - Fleuriste,florist,Monceau Fleurs,45.7699155,4.8618836,69006.0
Gentrification - Fleuriste,florist,Dahlia Shop,45.7743281,4.8072871,69009.0
Gentrification - Fleuriste,florist,B. B. Fleurs,45.73016,4.8331219,69007.0
